epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
112,4516.17,0.73577,0.41689,0.93233,0.95421,0.93086,0.97779,0.76683,0.82533,0.35343,0.93529,0.000616892,0.000205631,0.000616892,0.000205631,0.000616892,0.000205631,0.000616892,0.000205631
113,4551.28,0.73492,0.42064,0.93276,0.93216,0.95134,0.97779,0.76741,0.83359,0.35518,0.94258,0.000601666,0.000200555,0.000601666,0.000200555,0.000601666,0.000200555,0.000601666,0.000200555
114,4587.01,0.73573,0.41542,0.93337,0.95234,0.93526,0.97784,0.76928,0.8316,0.35708,0.94476,0.000586439,0.00019548,0.000586439,0.00019548,0.000586439,0.00019548,0.000586439,0.00019548
115,4622.33,0.73236,0.41409,0.93538,0.95451,0.92983,0.97625,0.76859,0.83165,0.35851,0.94512,0.000571213,0.000190404,0.000571213,0.000190404,0.000571213,0.000190404,0.000571213,0.000190404
116,4657.17,0.7338,0.41493,0.93145,0.9535,0.92907,0.97599,0.76879,0.83195,0.35815,0.94163,0.000555987,0.000185329,0.000555987,0.000185329,0.000555987,0.000185329,0.000555987,0.000185329
117,4692.3,0.73502,0.41651,0.93416,0.9534,0.92824,0.97662,0.76664,0.82967,0.35757,0.93903,0.000540761,0.000180254,0.000540761,0.000180254,0.000540761,0.000180254,0.000540761,0.000180254
118,4727.49,0.73296,0.41498,0.93317,0.93176,0.9482,0.97681,0.76937,0.82417,0.3549,0.93308,0.000525535,0.000175178,0.000525535,0.000175178,0.000525535,0.000175178,0.000525535,0.000175178
119,4762.52,0.73402,0.41427,0.93264,0.9509,0.92799,0.97743,0.76854,0.82691,0.35507,0.93598,0.000510308,0.000170103,0.000510308,0.000170103,0.000510308,0.000170103,0.000510308,0.000170103
120,4797.42,0.73328,0.41479,0.93222,0.95719,0.92629,0.97748,0.77013,0.8297,0.3559,0.93711,0.000495082,0.000165027,0.000495082,0.000165027,0.000495082,0.000165027,0.000495082,0.000165027
121,4832.94,0.73666,0.41571,0.93523,0.95972,0.92577,0.97629,0.76915,0.82782,0.3556,0.93893,0.000479856,0.000159952,0.000479856,0.000159952,0.000479856,0.000159952,0.000479856,0.000159952
122,4868.86,0.73557,0.41335,0.93196,0.95742,0.92735,0.97594,0.76821,0.83205,0.35781,0.93843,0.00046463,0.000154877,0.00046463,0.000154877,0.00046463,0.000154877,0.00046463,0.000154877
123,4913.73,0.73277,0.40965,0.92822,0.95576,0.93122,0.97625,0.77061,0.83104,0.35788,0.93991,0.000449404,0.000149801,0.000449404,0.000149801,0.000449404,0.000149801,0.000449404,0.000149801
124,4959.56,0.73005,0.40801,0.92824,0.95465,0.92919,0.97678,0.76965,0.83653,0.35831,0.93738,0.000434177,0.000144726,0.000434177,0.000144726,0.000434177,0.000144726,0.000434177,0.000144726
